Location,Google maps location name,Google maps adress,Place id,rating,rating total,Type
Indianapolis Zoo,Indianapolis Zoo,"1200 W Washington St, Indianapolis, IN 46222, United States",ChIJK1-_KkxXa4gRazRkyTLNKBw,4.5,16732,zoo
Central Canal,Central Canal,"Indianapolis, IN 46204, United States",ChIJM5c6vLNQa4gRDg3XGdo6qu4,4.8,197,tourist_attraction
Soldiers & Sailors Monument,Soldiers & Sailors Monument,"1 Monument Cir, Indianapolis, IN 46204, United States",ChIJkRIaJrxQa4gR6Ruza5aW-04,4.7,8030,tourist_attraction
Eiteljorg Museum,Eiteljorg Museum,"500 W Washington St, Indianapolis, IN 46204, United States",ChIJR21I4rBQa4gRqO49IzDADJo,4.6,1657,tourist_attraction
Indiana State Capitol,Indiana State Capitol,"Indiana State Capitol, 200 W Washington St, Indianapolis, IN 46204, USA",ChIJ5y9_K7pQa4gRCaZkd9S2yEA,,,premise
Rhythm! Discovery Center,Rhythm! Discovery Center,"Claypool Court Building, 110 W Washington St A, Indianapolis, IN 46204, United States",ChIJE4gJjrtQa4gRod4K8MXEYnM,4.7,284,museum
Chevrolet Brothers Gravesite,Chevrolet Brothers Gravesite,"368 W Pleasant Run Pkwy N Dr, Indianapolis, IN 46225, United States",ChIJTS-7EQxba4gRwMPW4PmiDQU,0,0,tourist_attraction
USS Indianapolis National Memorial,USS Indianapolis National Memorial,"Canal Walk, Indianapolis, IN 46202, United States",ChIJ9dZRKcZQa4gRABIIJe7GM1w,4.7,388,tourist_attraction
Garfield Park,Garfield Park,"2345 Pagoda Dr, Indianapolis, IN 46203, United States",ChIJxeXDEmhaa4gRGN2-NTGZSK0,4.6,3099,park
The Indianapolis Cultural Trail,The Indianapolis Cultural Trail,"132 W Walnut St, Indianapolis, IN 46204, United States",ChIJMWfq3MZQa4gRiNTDdmhU8B0,4.8,40,tourist_attraction
Indianapolis Motor Speedway Museum,Indianapolis Motor Speedway Museum,"4750 W 16th St, Indianapolis, IN 46222, United States",ChIJlz9DX7ZXa4gRAKvjczaK3EQ,4.8,2997,tourist_attraction
Garfield Park Conservatory,Garfield Park Conservatory,"2505 Conservatory Dr, Indianapolis, IN 46203, United States",ChIJu5ugY2daa4gRfEHZZ_Ldu4Y,4.7,1313,tourist_attraction
Oldfields–Lilly House & Gardens,Oldfields–Lilly House & Gardens,"4000 N Michigan Rd, Indianapolis, IN 46208, United States",ChIJT3ClfaVWa4gRnJIb8m2hN6I,4.8,534,museum
Ransom Place,Ransom Place,"Ransom Place, Indianapolis, IN 46202, USA",ChIJbdiuVMlQa4gRIqd3zsCU_Cg,null,null,neighborhood
Indianapolis Canal Walk,Canal Walk,"Canal Walk, Indianapolis, IN, USA",ChIJm7K8cshQa4gRmwU2b61bGJ0,null,null,route
